               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.02505,           0.0094278,           0.0042841,             0.77867,             0.76539,             0.80244,             0.55743,            0.022176,           0.0045177,            0.011455,            0.004073,            0.004073,            0.004073
                  68,            0.027175,             0.00999,           0.0044987,             0.66359,             0.69993,             0.70082,             0.47267,            0.024427,           0.0049434,            0.021134,           0.0039638,           0.0039638,           0.0039638
                  69,            0.026315,            0.010032,           0.0046885,             0.81005,             0.89206,             0.86718,             0.61596,            0.020945,           0.0045731,           0.0078814,           0.0038567,           0.0038567,           0.0038567
                  70,            0.027002,           0.0097906,           0.0038333,             0.91756,             0.76465,             0.87689,             0.62967,            0.021789,           0.0045702,           0.0086015,           0.0037517,           0.0037517,           0.0037517
                  71,            0.025376,            0.009457,           0.0040409,             0.73271,             0.79993,             0.78772,             0.56484,            0.022962,           0.0043932,            0.010596,           0.0036489,           0.0036489,           0.0036489
                  72,            0.026404,           0.0098295,           0.0040008,              0.8827,             0.84821,             0.90201,             0.63919,            0.022014,           0.0044234,           0.0091931,           0.0035484,           0.0035484,           0.0035484
                  73,            0.025227,           0.0092701,           0.0035649,             0.76525,             0.87712,              0.8374,             0.59307,            0.021006,           0.0043821,           0.0098274,           0.0034503,           0.0034503,           0.0034503
                  74,            0.025774,           0.0096071,            0.003837,             0.77152,             0.89028,             0.84655,             0.60114,            0.022523,            0.004277,            0.011459,           0.0033548,           0.0033548,           0.0033548
                  75,             0.02499,           0.0093796,           0.0032473,             0.83984,             0.85296,             0.87812,             0.63132,            0.021793,           0.0043036,           0.0090533,           0.0032618,           0.0032618,           0.0032618
                  76,            0.025563,           0.0093443,           0.0033506,             0.71667,             0.77464,             0.76424,             0.55178,             0.02186,           0.0044283,            0.011876,           0.0031716,           0.0031716,           0.0031716
                  77,            0.024506,           0.0092245,           0.0034458,             0.76022,             0.72402,             0.79699,              0.5781,            0.022711,           0.0045329,             0.01183,           0.0030841,           0.0030841,           0.0030841
                  78,            0.025149,           0.0089481,           0.0032234,             0.68337,             0.82886,             0.78757,             0.56503,            0.021573,           0.0043681,            0.011871,           0.0029996,           0.0029996,           0.0029996
                  79,            0.024996,           0.0090799,           0.0029288,             0.80219,             0.91324,             0.89698,             0.64999,            0.021721,           0.0042727,           0.0083058,           0.0029179,           0.0029179,           0.0029179
                  80,            0.024053,           0.0089208,           0.0028475,             0.80616,             0.78248,             0.84042,             0.59658,             0.02195,            0.004773,            0.010323,           0.0028394,           0.0028394,           0.0028394
                  81,            0.024937,           0.0090027,           0.0033058,             0.84141,             0.80431,             0.89053,             0.62866,            0.022429,           0.0043127,           0.0091656,           0.0027639,           0.0027639,           0.0027639
                  82,            0.023942,           0.0088914,           0.0029448,             0.82383,             0.75578,             0.82979,             0.59601,            0.020852,            0.004344,            0.013718,           0.0026917,           0.0026917,           0.0026917
                  83,            0.024425,            0.009557,           0.0029909,             0.75207,             0.80319,             0.80402,             0.58451,            0.019287,           0.0044718,            0.010933,           0.0026227,           0.0026227,           0.0026227
                  84,            0.023223,           0.0090301,            0.002593,             0.76688,             0.85948,             0.85947,             0.61738,            0.019178,           0.0045205,               0.012,            0.002557,            0.002557,            0.002557
                  85,            0.022914,           0.0091162,           0.0029512,             0.87964,             0.76839,             0.84459,              0.6228,            0.019442,           0.0044345,            0.013379,           0.0024948,           0.0024948,           0.0024948
                  86,            0.023351,           0.0086397,           0.0028899,             0.68729,               0.789,             0.75704,             0.54816,            0.021736,           0.0047002,            0.011555,            0.002436,            0.002436,            0.002436
                  87,            0.024204,           0.0087774,           0.0028649,             0.83825,             0.79672,             0.81391,             0.59749,            0.019752,           0.0045111,            0.011982,           0.0023807,           0.0023807,           0.0023807
                  88,            0.022493,           0.0086803,           0.0024183,             0.74458,              0.8117,               0.788,             0.57816,            0.019028,           0.0046129,            0.011281,            0.002329,            0.002329,            0.002329
                  89,            0.023109,           0.0088228,           0.0027422,             0.80742,             0.79702,             0.84891,             0.61901,            0.019726,           0.0044288,            0.010588,           0.0022809,           0.0022809,           0.0022809
                  90,            0.023961,           0.0090354,           0.0031248,             0.80228,             0.86382,             0.87246,             0.63966,             0.01971,           0.0044476,            0.010398,           0.0022365,           0.0022365,           0.0022365
                  91,            0.023184,           0.0088104,            0.003406,             0.77883,             0.78646,             0.81793,              0.5932,            0.019406,           0.0045403,            0.010754,           0.0021958,           0.0021958,           0.0021958
                  92,            0.022157,           0.0086707,           0.0028979,             0.70296,             0.78383,             0.78128,             0.56365,            0.020013,           0.0045516,            0.012578,           0.0021588,           0.0021588,           0.0021588
                  93,            0.022699,           0.0090939,           0.0024904,             0.73841,             0.84014,             0.78848,             0.56737,            0.020432,           0.0045169,             0.01377,           0.0021257,           0.0021257,           0.0021257
                  94,            0.022278,           0.0088451,           0.0027835,             0.76624,             0.85776,             0.82365,             0.59903,            0.019313,           0.0045818,            0.012156,           0.0020963,           0.0020963,           0.0020963
                  95,            0.022696,            0.008368,           0.0022774,             0.82077,              0.8264,               0.877,             0.63991,            0.019698,           0.0044869,           0.0097843,           0.0020709,           0.0020709,           0.0020709
                  96,            0.022076,           0.0085458,           0.0020792,             0.73774,             0.78672,             0.79425,             0.58692,            0.019489,           0.0046646,            0.012728,           0.0020492,           0.0020492,           0.0020492
                  97,            0.022263,           0.0086597,           0.0022193,             0.77757,              0.8777,             0.85778,             0.62669,            0.019526,           0.0046514,            0.011416,           0.0020315,           0.0020315,           0.0020315
                  98,            0.022416,           0.0085148,           0.0021985,             0.73586,              0.8538,             0.81525,             0.59121,            0.020826,           0.0045938,            0.011326,           0.0020178,           0.0020178,           0.0020178
                  99,            0.022383,           0.0088152,           0.0021889,             0.79792,             0.76023,             0.80995,             0.59296,             0.02132,           0.0046308,            0.012213,           0.0020079,           0.0020079,           0.0020079
